SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
168,NO3-N,mg/l,July,2018,,CPCB,30.6921376,76.7361159
169,NH3-N,mg/l,July,2018,5.0,CPCB,30.6921376,76.7361159
170,Phosphate,mg/l,July,2018,,CPCB,30.6921376,76.7361159
171,TSS,mg/l,July,2018,77.0,CPCB,30.6921376,76.7361159
172,TDS,mg/l,July,2018,,CPCB,30.6921376,76.7361159
173,FS,mg/l,July,2018,,CPCB,30.6921376,76.7361159
174,Turbidity,NTU,July,2018,,CPCB,30.6921376,76.7361159
175,TH as CaCO3,mg/l,July,2018,,CPCB,30.6921376,76.7361159
176,Ca as CaCO3,mg/l,July,2018,,CPCB,30.6921376,76.7361159
177,Mg as CaCO3,mg/l,July,2018,,CPCB,30.6921376,76.7361159
178,Sulphate,mg/l,July,2018,,CPCB,30.6921376,76.7361159
179,Chloride,mg/l,July,2018,,CPCB,30.6921376,76.7361159
180,Total alkalinity as CaCO3,mg/l,July,2018,,CPCB,30.6921376,76.7361159
181,P-Alkalinity,mg/l,July,2018,,CPCB,30.6921376,76.7361159
182,Fluoride,mg/l,July,2018,,CPCB,30.6921376,76.7361159
183,Colour,Hazen,July,2018,,CPCB,30.6921376,76.7361159
184,Boron(B),mg/l,July,2018,,CPCB,30.6921376,76.7361159
185,TKN,mg/l,July,2018,,CPCB,30.6921376,76.7361159
186,Potassium,mg/l,July,2018,,CPCB,30.6921376,76.7361159
187,Sodium,mg/l,July,2018,,CPCB,30.6921376,76.7361159
188,Total Coliform,MPN/100ml,July,2018,1800.0,CPCB,30.6921376,76.7361159
189,Faecal Coliform,MPN/100ml,July,2018,920.0,CPCB,30.6921376,76.7361159
190,pH,-,Aug,2018,7.3,CPCB,30.6921376,76.7361159
191,Conductivity,µs/cm,Aug,2018,,CPCB,30.6921376,76.7361159
192,DO,mg/l,Aug,2018,4.6,CPCB,30.6921376,76.7361159
193,COD,mg/l,Aug,2018,25.0,CPCB,30.6921376,76.7361159
194,BOD,mg/l,Aug,2018,9.0,CPCB,30.6921376,76.7361159
195,NO3-N,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
196,NH3-N,mg/l,Aug,2018,5.0,CPCB,30.6921376,76.7361159
197,Phosphate,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
198,TSS,mg/l,Aug,2018,5.0,CPCB,30.6921376,76.7361159
199,TDS,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
200,FS,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
201,Turbidity,NTU,Aug,2018,,CPCB,30.6921376,76.7361159
202,TH as CaCO3,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
203,Ca as CaCO3,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
204,Mg as CaCO3,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
205,Sulphate,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
206,Chloride,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
207,Total alkalinity as CaCO3,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
208,P-Alkalinity,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
209,Fluoride,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
210,Colour,Hazen,Aug,2018,,CPCB,30.6921376,76.7361159
211,Boron(B),mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
212,TKN,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
213,Potassium,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
214,Sodium,mg/l,Aug,2018,,CPCB,30.6921376,76.7361159
215,Total Coliform,MPN/100ml,Aug,2018,7600.0,CPCB,30.6921376,76.7361159
216,Faecal Coliform,MPN/100ml,Aug,2018,3200.0,CPCB,30.6921376,76.7361159
217,pH,-,Sept,2018,7.7,CPCB,30.6921376,76.7361159
218,Conductivity,µs/cm,Sept,2018,,CPCB,30.6921376,76.7361159
219,DO,mg/l,Sept,2018,5.1,CPCB,30.6921376,76.7361159
220,COD,mg/l,Sept,2018,17.0,CPCB,30.6921376,76.7361159
221,BOD,mg/l,Sept,2018,5.0,CPCB,30.6921376,76.7361159
222,NO3-N,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
223,NH3-N,mg/l,Sept,2018,3.0,CPCB,30.6921376,76.7361159
224,Phosphate,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
225,TSS,mg/l,Sept,2018,25.0,CPCB,30.6921376,76.7361159
226,TDS,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
227,FS,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
228,Turbidity,NTU,Sept,2018,,CPCB,30.6921376,76.7361159
229,TH as CaCO3,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
230,Ca as CaCO3,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
231,Mg as CaCO3,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
232,Sulphate,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
233,Chloride,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
234,Total alkalinity as CaCO3,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
235,P-Alkalinity,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
