SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
181,P-Alkalinity,mg/l,July,,CPCB 2018,2018,Sector 83,30.658143,76.724407
182,Fluoride,mg/l,July,0.13,CPCB 2018,2018,Sector 83,30.658143,76.724407
183,Colour,Hazen,July,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
184,Boron(B),mg/l,July,0.12,CPCB 2018,2018,Sector 83,30.658143,76.724407
185,TKN,mg/l,July,4.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
186,Potassium,mg/l,July,10,CPCB 2018,2018,Sector 83,30.658143,76.724407
187,Sodium,mg/l,July,43,CPCB 2018,2018,Sector 83,30.658143,76.724407
188,Total Coliform,MPN/100ml,July,,CPCB 2018,2018,Sector 83,30.658143,76.724407
189,Faecal Coliform,MPN/100ml,July,,CPCB 2018,2018,Sector 83,30.658143,76.724407
190,pH,-,Aug,7.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
191,Conductivity,µs/cm,Aug,559,CPCB 2018,2018,Sector 83,30.658143,76.724407
192,DO,mg/l,Aug,,CPCB 2018,2018,Sector 83,30.658143,76.724407
193,COD,mg/l,Aug,82,CPCB 2018,2018,Sector 83,30.658143,76.724407
194,BOD,mg/l,Aug,49,CPCB 2018,2018,Sector 83,30.658143,76.724407
195,NO3-N,mg/l,Aug,2.8,CPCB 2018,2018,Sector 83,30.658143,76.724407
196,NH3-N,mg/l,Aug,15,CPCB 2018,2018,Sector 83,30.658143,76.724407
197,Phosphate,mg/l,Aug,1.03,CPCB 2018,2018,Sector 83,30.658143,76.724407
198,TSS,mg/l,Aug,62,CPCB 2018,2018,Sector 83,30.658143,76.724407
199,TDS,mg/l,Aug,345,CPCB 2018,2018,Sector 83,30.658143,76.724407
200,FS,mg/l,Aug,289,CPCB 2018,2018,Sector 83,30.658143,76.724407
201,Turbidity,NTU,Aug,92,CPCB 2018,2018,Sector 83,30.658143,76.724407
202,TH as CaCO3,mg/l,Aug,210,CPCB 2018,2018,Sector 83,30.658143,76.724407
203,Ca as CaCO3,mg/l,Aug,120,CPCB 2018,2018,Sector 83,30.658143,76.724407
204,Mg as CaCO3,mg/l,Aug,90,CPCB 2018,2018,Sector 83,30.658143,76.724407
205,Sulphate,mg/l,Aug,54,CPCB 2018,2018,Sector 83,30.658143,76.724407
206,Chloride,mg/l,Aug,42,CPCB 2018,2018,Sector 83,30.658143,76.724407
207,Total alkalinity as CaCO3,mg/l,Aug,224,CPCB 2018,2018,Sector 83,30.658143,76.724407
208,P-Alkalinity,mg/l,Aug,,CPCB 2018,2018,Sector 83,30.658143,76.724407
209,Fluoride,mg/l,Aug,0.14,CPCB 2018,2018,Sector 83,30.658143,76.724407
210,Colour,Hazen,Aug,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
211,Boron(B),mg/l,Aug,0.15,CPCB 2018,2018,Sector 83,30.658143,76.724407
212,TKN,mg/l,Aug,4.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
213,Potassium,mg/l,Aug,10,CPCB 2018,2018,Sector 83,30.658143,76.724407
214,Sodium,mg/l,Aug,43,CPCB 2018,2018,Sector 83,30.658143,76.724407
215,Total Coliform,MPN/100ml,Aug,,CPCB 2018,2018,Sector 83,30.658143,76.724407
216,Faecal Coliform,MPN/100ml,Aug,,CPCB 2018,2018,Sector 83,30.658143,76.724407
217,pH,-,Sept,7.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
218,Conductivity,µs/cm,Sept,724,CPCB 2018,2018,Sector 83,30.658143,76.724407
219,DO,mg/l,Sept,,CPCB 2018,2018,Sector 83,30.658143,76.724407
220,COD,mg/l,Sept,114,CPCB 2018,2018,Sector 83,30.658143,76.724407
221,BOD,mg/l,Sept,82,CPCB 2018,2018,Sector 83,30.658143,76.724407
222,NO3-N,mg/l,Sept,1.2,CPCB 2018,2018,Sector 83,30.658143,76.724407
223,NH3-N,mg/l,Sept,19,CPCB 2018,2018,Sector 83,30.658143,76.724407
224,Phosphate,mg/l,Sept,1.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
225,TSS,mg/l,Sept,37,CPCB 2018,2018,Sector 83,30.658143,76.724407
226,TDS,mg/l,Sept,390,CPCB 2018,2018,Sector 83,30.658143,76.724407
227,FS,mg/l,Sept,317,CPCB 2018,2018,Sector 83,30.658143,76.724407
228,Turbidity,NTU,Sept,96,CPCB 2018,2018,Sector 83,30.658143,76.724407
