SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
116,Phosphate,mg/l,May,2018,2.51,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
117,TSS,mg/l,May,2018,105.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
118,TDS,mg/l,May,2018,297.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
119,FS,mg/l,May,2018,310.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
120,Turbidity,NTU,May,2018,109.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
121,TH as CaCO3,mg/l,May,2018,220.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
122,Ca as CaCO3,mg/l,May,2018,124.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
123,Mg as CaCO3,mg/l,May,2018,96.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
124,Sulphate,mg/l,May,2018,52.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
125,Chloride,mg/l,May,2018,48.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
126,Total alkalinity as CaCO3,mg/l,May,2018,254.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
127,P-Alkalinity,mg/l,May,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
128,Fluoride,mg/l,May,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
129,Colour,Hazen,May,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
130,Boron(B),mg/l,May,2018,0.14,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
131,TKN,mg/l,May,2018,3.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
132,Potassium,mg/l,May,2018,8.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
133,Sodium,mg/l,May,2018,24.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
134,Total Coliform,MPN/100ml,May,2018,2.2E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
135,Faecal Coliform,MPN/100ml,May,2018,1.1E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
136,pH,-,June,2018,6.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
137,Conductivity,µs/cm,June,2018,638.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
138,DO,mg/l,June,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
139,COD,mg/l,June,2018,141.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
140,BOD,mg/l,June,2018,65.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
141,NO3-N,mg/l,June,2018,2.2,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
142,NH3-N,mg/l,June,2018,18.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
143,Phosphate,mg/l,June,2018,1.83,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
144,TSS,mg/l,June,2018,82.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
145,TDS,mg/l,June,2018,317.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
146,FS,mg/l,June,2018,271.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
147,Turbidity,NTU,June,2018,95.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
148,TH as CaCO3,mg/l,June,2018,194.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
149,Ca as CaCO3,mg/l,June,2018,116.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
150,Mg as CaCO3,mg/l,June,2018,78.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
151,Sulphate,mg/l,June,2018,51.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
152,Chloride,mg/l,June,2018,46.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
153,Total alkalinity as CaCO3,mg/l,June,2018,246.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
154,P-Alkalinity,mg/l,June,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
155,Fluoride,mg/l,June,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
156,Colour,Hazen,June,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
157,Boron(B),mg/l,June,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
158,TKN,mg/l,June,2018,4.3,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
159,Potassium,mg/l,June,2018,9.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
160,Sodium,mg/l,June,2018,38.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
161,Total Coliform,MPN/100ml,June,2018,1.7E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
162,Faecal Coliform,MPN/100ml,June,2018,1.4E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
163,pH,-,July,2018,7.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
164,Conductivity,µs/cm,July,2018,616.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
165,DO,mg/l,July,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
166,COD,mg/l,July,2018,164.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
167,BOD,mg/l,July,2018,77.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
168,NO3-N,mg/l,July,2018,2.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
169,NH3-N,mg/l,July,2018,22.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
170,Phosphate,mg/l,July,2018,2.01,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
171,TSS,mg/l,July,2018,80.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
172,TDS,mg/l,July,2018,342.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
173,FS,mg/l,July,2018,274.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
174,Turbidity,NTU,July,2018,113.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
175,TH as CaCO3,mg/l,July,2018,214.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
176,Ca as CaCO3,mg/l,July,2018,122.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
